date,renewables,other
1996-01-01,6101.72,344765.28
1997-01-01,7428.98,343238.02
1998-01-01,9231.86,353470.14
1999-01-01,10174.84,357978.16
2000-01-01,10361.1,366708.9
2001-01-01,10075.93,374711.07
2002-01-01,11670.77,375574.23
2003-01-01,11207.32,386999.68
2004-01-01,14723.11,379205.64
2005-01-01,17518.81,380840.87
2006-01-01,18756.65,378525.3
2007-01-01,19689.65,377140.31
2008-01-01,21819.95,367072.05
2009-01-01,25208.05,351510.2
2010-01-01,26180.44,355887.81
2011-01-01,35212.3,332769.72
2012-01-01,41248.57,322624.98
2013-01-01,53213.25,305070.11
2014-01-01,64522.5,273573.61
2015-01-01,83363.83,255511.48
2016-01-01,82990.62,256173.79
2017-01-01,98878.63,239318.7
2018-01-01,109995.41,222727.63
2019-01-01,119540.97,204259.73
2020-01-01,134603.3,177393.7
